index_,index,customer_city,customer_state,customer_zip_code_prefix,id,most_voted_class,most_voted_subclass,order_aproved_at,order_delivered_customer_date,order_estimated_delivery_date,order_freight_value,order_items_qty,order_products_value,order_purchase_timestamp,order_sellers_qty,order_status,product_category_name,product_description_length,product_name_length,product_photos_qty,review_answer_timestamp,review_comment_message,review_creation_date,review_score,votes_before_estimate,votes_delayed,votes_low_quality,votes_not_as_anounced,votes_other_delivery,votes_other_order,votes_partial_delivery,votes_return,votes_satisfied
943,943,Porto Alegre,RS,917,944,satisfeito_com_pedido,satisfeito,2017-09-12 00:30:07.435918,2017-09-25 20:30:08.858252,2017-10-03 00:00:00.000000,16.66,1,127.9,2017-09-12 00:13:43,1,delivered,fashion_roupa_masculina,472,50,2,2017-09-27 07:05:00,muito bom,2017-09-26 00:00:00,5,0,0,0,0,0,0,0,0,3
944,944,Matao,SP,159,945,,,2018-02-21 19:15:48.809402,2018-03-01 17:47:06.245108,2018-03-14 00:00:00.000000,35.55,3,32.97,2018-02-21 18:56:47,1,delivered,utilidades_domesticas,209,24,3,2018-03-03 02:11:53,um dos marcadores veio faltando as 4 peças de marcar os pontos,2018-03-02 00:00:00,3,0,0,0,1,0,0,1,1,0
945,945,RIO DE JANEIRO,RJ,227,946,problemas_de_entrega,entrega_parcial,2017-10-25 02:14:30.888085,2017-10-31 20:43:31.859977,2017-11-10 00:00:00.000000,127.2,4,599.64,2017-10-24 18:07:14,1,delivered,informatica_acessorios,503,42,1,2017-11-06 21:38:52,apenas uma resalva comprei quatro unidades foram entregues 3 juntas e quarta entregue separadamente,2017-11-01 00:00:00,4,0,0,0,0,0,0,3,0,0
946,946,Charqueadas,RS,967,947,satisfeito_com_pedido,satisfeito,2017-09-28 21:20:15.843916,2017-10-26 13:28:31.093333,2017-11-01 00:00:00.000000,17.67,1,59.9,2017-09-28 20:31:59,1,delivered,ferramentas_jardim,340,58,2,2017-10-27 18:05:41,atendimento dentro do esperado,2017-10-27 00:00:00,5,0,0,0,0,0,0,0,0,3
947,947,Ibate,SP,148,948,satisfeito_com_pedido,satisfeito,2017-07-15 07:43:02.150787,2017-07-24 17:33:29.229776,2017-08-03 00:00:00.000000,6.0,1,12.26,2017-07-14 13:12:09,2,delivered,esporte_lazer,1445,38,1,2017-07-26 02:36:23,adorei este kit,2017-07-25 00:00:00,5,0,0,0,0,0,0,0,0,3
948,948,Andradas,MG,377,949,satisfeito_com_pedido,satisfeito,2017-07-01 13:50:19.007010,2017-07-18 18:59:45.288411,2017-07-27 00:00:00.000000,20.14,1,129.0,2017-07-01 11:59:08,1,delivered,moveis_decoracao,1916,54,2,2017-07-20 02:33:30,minha compra transcorreu perfeitamente desde a compra até a entrega recomendo,2017-07-19 00:00:00,5,0,0,0,0,0,0,0,0,3
949,949,Ipatinga,MG,351,950,satisfeito_com_pedido,satisfeito,2017-12-18 20:30:43.710420,2018-01-03 13:29:42.281021,2018-01-16 00:00:00.000000,15.32,1,81.25,2017-12-18 17:55:14,2,delivered,relogios_presentes,555,56,1,2018-01-05 00:56:36,chegou no prazo,2018-01-04 00:00:00,3,1,0,0,0,0,0,0,0,2
950,950,Niteroi,RJ,241,951,problemas_de_entrega,outro_entrega,2017-11-22 02:51:26.560871,2017-12-18 15:45:17.790505,2017-12-12 00:00:00.000000,15.11,1,21.65,2017-11-19 09:59:48,1,delivered,utilidades_domesticas,380,9,2,2017-12-18 13:37:33,no momento da compra paguei frete para entregar no meu endereço e foi colocado para retirarmos nos correiros do outro lado da cidade de niterói todos sites entregam aqui,2017-12-15 00:00:00,1,0,0,0,0,2,1,0,0,0
951,951,Sao Jose dos Campos,SP,122,952,satisfeito_com_pedido,antes_prazo,2017-11-09 23:07:03.858217,2017-11-20 21:41:22.199325,2017-12-01 00:00:00.000000,13.82,1,210.9,2017-11-09 22:46:03,1,delivered,relogios_presentes,617,36,2,2017-11-22 02:19:01,produto chegou corretamente antes do prazo,2017-11-21 00:00:00,5,3,0,0,0,0,0,0,0,0
952,952,Gravatai,RS,941,953,satisfeito_com_pedido,satisfeito,2017-11-16 00:56:18.115466,2017-12-02 13:22:20.643121,2017-12-13 00:00:00.000000,15.1,1,27.3,2017-11-15 23:54:40,1,delivered,fashion_bolsas_e_acessorios,1382,54,1,2017-12-03 19:31:18,chegou certo produto muito bem feito adorei,2017-12-03 00:00:00,5,0,0,0,0,0,0,0,0,3
953,953,Santa Rosa,RS,987,954,satisfeito_com_pedido,satisfeito,2018-01-26 16:34:32.871373,2018-02-20 16:17:12.802926,2018-03-05 00:00:00.000000,15.24,1,69.9,2018-01-26 16:26:55,1,delivered,fashion_bolsas_e_acessorios,485,47,5,2018-02-21 23:16:55,bem melhor nas imgs mais bonito adorei,2018-02-21 00:00:00,5,0,1,0,0,0,0,0,0,2
954,954,Valenca,BA,454,955,satisfeito_com_pedido,satisfeito,2017-04-04 23:30:19.697915,2017-09-19 13:47:09.916278,2017-05-04 00:00:00.000000,19.15,1,64.9,2017-04-04 23:21:02,1,delivered,cool_stuff,500,38,1,2017-05-08 00:58:37,tudo correu bem na entrega do produto e o mesmo chegou em perfeito estado houve apenas um problema com o furo do parafuso da base inferior da grade o orifício estava fora de alinhamento e foi precis,2017-05-04 00:00:00,4,0,0,0,0,0,0,0,0,3
955,955,Vitoria,ES,290,956,problemas_de_entrega,entrega_parcial,2017-12-14 14:31:42.551925,2017-12-27 16:59:13.888059,2018-01-10 00:00:00.000000,33.34,2,120.0,2017-12-14 14:07:48,1,delivered,utilidades_domesticas,729,56,4,2018-01-02 19:45:12,o produto veio incompleto foram duas bandeijas e so foi entregue uma e a nota fiscal vei cobrando o valor de duas constando so um item na mesma muito insatisfeito,2017-12-28 00:00:00,1,0,0,0,0,0,0,3,0,0
956,956,Caratinga,MG,353,957,problemas_de_entrega,atrasado,2017-08-26 02:24:30.482234,2017-09-14 18:44:47.900927,2017-09-19 00:00:00.000000,0.0,1,164.9,2017-08-25 15:24:20,1,delivered,automotivo,621,53,1,2017-09-18 20:53:44,demorou um pouco a entrega mas a culpa foi dos correios,2017-09-15 00:00:00,4,0,2,0,0,1,0,0,0,0
957,957,Taquarituba,SP,187,958,satisfeito_com_pedido,antes_prazo,2017-12-28 09:55:28.406899,2018-01-03 18:10:06.056038,2018-01-23 00:00:00.000000,13.7,1,97.49,2017-12-28 09:48:05,1,delivered,beleza_saude,1623,60,1,2018-01-07 03:42:43,satisfeito com o produto e com a entrega antes do prazo inclusive recomendo,2018-01-04 00:00:00,5,2,0,0,0,0,0,0,0,1
958,958,Pindamonhangaba,SP,124,959,problemas_de_qualidade,baixa_qualidade,2017-11-02 02:27:30.896643,2017-11-10 23:11:43.762914,2017-11-22 00:00:00.000000,15.1,1,24.9,2017-11-01 02:38:05,1,delivered,fashion_bolsas_e_acessorios,459,49,5,2017-11-18 05:01:28,só não vou dar 5 estrelas pq pecaram no acabamento do símbolo do infinito de maneira grotesca sobrando rebarbas,2017-11-11 00:00:00,4,0,0,3,0,0,0,0,0,0
959,959,Belo Horizonte,MG,302,960,problemas_de_qualidade,baixa_qualidade,2018-02-19 13:50:57.623271,2018-03-07 22:52:10.675419,2018-03-13 00:00:00.000000,20.74,1,23.48,2018-02-19 13:42:51,2,delivered,informatica_acessorios,665,55,1,2018-03-09 16:03:45,chegaram pra mim 2 cartuchos piratas um inclusdive sem nota fiscal fora da caixa sem o nome da marca hp quero devolver este produto que é inclusive ilegal mas especialmente não é o que comprei,2018-03-08 00:00:00,1,0,0,2,0,0,0,0,1,0
960,960,Catanduva,SP,158,961,satisfeito_com_pedido,satisfeito,2017-08-19 20:55:18.748049,2017-08-29 21:36:44.980863,2017-09-15 00:00:00.000000,37.05,1,219.99,2017-08-19 20:39:47,1,delivered,moveis_escritorio,1159,48,2,2017-09-01 02:09:56,entregue dentro do prazo e o produto veio perfeito,2017-08-30 00:00:00,5,0,0,0,0,0,0,0,0,3
961,961,Itapira,SP,139,962,satisfeito_com_pedido,satisfeito,2017-08-08 10:50:16.633168,2017-08-15 22:15:26.658321,2017-08-28 00:00:00.000000,12.73,1,175.8,2017-08-08 10:40:16,1,delivered,moveis_decoracao,1862,59,2,2017-08-17 14:37:49,produto excelente,2017-08-16 00:00:00,5,0,0,0,0,0,0,0,0,3
962,962,Lajeado,RS,959,963,satisfeito_com_pedido,satisfeito,2017-12-11 15:57:25.925004,2017-12-28 20:36:53.901301,2018-01-12 00:00:00.000000,17.82,1,81.9,2017-12-11 15:46:28,1,delivered,beleza_saude,225,47,1,2018-01-02 16:08:20,bom,2017-12-29 00:00:00,3,0,0,0,0,0,0,0,0,3
963,963,Belo Horizonte,MG,304,964,problemas_de_qualidade,devolucao,2017-09-25 09:05:35.709524,2017-10-03 18:06:21.493391,2017-10-19 00:00:00.000000,17.95,1,99.9,2017-09-25 08:50:48,1,delivered,brinquedos,670,56,1,2017-10-09 13:18:43,produto estragado liguei na central de vcs e não obtive o retorno,2017-10-04 00:00:00,1,0,0,0,0,0,0,0,3,0
964,964,Pelotas,RS,960,965,satisfeito_com_pedido,satisfeito,2018-02-03 12:14:57.132864,2018-02-14 21:18:34.299971,2018-03-06 00:00:00.000000,21.54,1,149.9,2018-02-03 12:00:47,1,delivered,cama_mesa_banho,2400,58,2,2018-02-16 02:03:19,produto dez,2018-02-15 00:00:00,5,0,0,0,0,0,0,0,0,3
965,965,Ipiabas,RJ,271,966,problemas_de_qualidade,outro_pedido,2017-12-20 21:29:57.836832,2018-01-17 17:09:26.303184,2018-01-22 00:00:00.000000,33.58,2,39.8,2017-12-20 21:11:47,1,delivered,beleza_saude,524,48,2,2018-01-19 02:45:01,cancelei o produto antes e eles me enviaram bem tempo depois,2018-01-18 00:00:00,1,0,0,0,1,0,2,0,0,0
966,966,Crato,CE,631,967,satisfeito_com_pedido,satisfeito,2017-12-26 12:48:57.842328,2018-01-23 22:19:33.137919,2018-03-07 00:00:00.000000,37.61,1,67.7,2017-12-26 12:25:18,1,delivered,utilidades_domesticas,570,27,3,2018-01-25 12:45:54,excelente vendedor rápido e eficiente,2018-01-24 00:00:00,5,1,0,0,0,0,0,0,0,2
967,967,Nova Lima,MG,340,968,satisfeito_com_pedido,satisfeito,2017-06-05 20:45:00.986571,2017-06-12 13:43:08.092346,2017-06-29 00:00:00.000000,18.1,1,264.99,2017-06-05 20:32:25,1,delivered,beleza_saude,825,56,1,2017-06-15 15:35:08,entregue no prazo gostei,2017-06-13 00:00:00,5,0,0,0,0,0,0,0,0,3
968,968,Sao Paulo,SP,46,969,problemas_de_qualidade,devolucao,2017-08-18 14:25:20.621873,2017-08-25 17:36:17.739869,2017-08-31 00:00:00.000000,8.1,1,120.0,2017-08-18 14:12:12,1,delivered,moveis_decoracao,474,38,4,2017-08-27 10:16:35,veio 2 placas amassadas,2017-08-26 00:00:00,3,0,0,0,0,1,0,0,2,0
969,969,Ananindeua,PA,671,970,satisfeito_com_pedido,satisfeito,2017-08-05 13:45:16.642929,2017-08-21 19:18:42.135019,2017-09-18 00:00:00.000000,117.44,1,259.98,2017-08-05 13:31:17,1,delivered,moveis_escritorio,1746,48,1,2017-08-23 04:53:49,produto super confortável e muito bonito,2017-08-22 00:00:00,5,0,0,0,0,0,0,0,0,3
970,970,Sao Paulo,SP,41,971,problemas_de_entrega,atrasado,2017-09-21 19:24:21.720094,2017-10-16 18:17:55.736637,2017-10-17 00:00:00.000000,15.18,1,59.9,2017-09-21 19:05:21,1,delivered,bebes,1260,37,4,2017-10-21 19:10:39,produto idêntico ao anunciado não recebi no prazo pq o caminhão foi roubado,2017-10-17 00:00:00,5,0,3,0,0,0,0,0,0,0
971,971,Sao Luis,MA,650,972,problemas_de_entrega,outro_entrega,2018-03-09 19:48:09.511695,2018-04-09 20:48:34.582000,2018-05-02 00:00:00.000000,38.95,2,70.0,2018-03-09 19:09:47,1,delivered,moveis_decoracao,831,51,1,2018-04-18 19:34:22,sempre comprei com vcs e nunca tinha dado problema na dificuldades da entrega alguns parceiros seus trabalham com transportadoras que nao estão preparadas para entregar e achar enderços para entre,2018-04-10 00:00:00,4,0,0,0,0,3,0,0,0,0
972,972,Santos,SP,110,973,problemas_de_qualidade,baixa_qualidade,2017-11-04 11:25:22.359624,2017-11-08 02:42:06.307598,2017-11-16 00:00:00.000000,9.34,4,248.0,2017-11-03 11:29:00,1,delivered,cama_mesa_banho,252,48,1,2017-11-09 13:39:16,qualidade intermediária,2017-11-09 00:00:00,5,0,0,2,0,0,0,0,0,1
973,973,Macau,RN,595,974,satisfeito_com_pedido,satisfeito,2017-09-08 15:43:30.238128,2017-09-20 21:02:45.040301,2017-10-11 00:00:00.000000,34.2,1,56.99,2017-09-08 15:28:46,1,delivered,perfumaria,435,24,3,2017-09-22 05:29:25,bonitos,2017-09-21 00:00:00,4,0,0,0,0,0,0,0,0,3
974,974,Salvador,BA,407,975,satisfeito_com_pedido,satisfeito,2017-12-23 22:49:21.444768,2018-01-13 16:06:51.213958,2018-01-26 00:00:00.000000,15.79,1,14.46,2017-12-23 22:42:51,1,delivered,ferramentas_jardim,275,40,1,2018-01-14 20:46:11,bom,2018-01-14 00:00:00,4,0,0,0,0,0,0,0,0,3
975,975,Jamapara,RJ,258,976,satisfeito_com_pedido,satisfeito,2017-10-28 10:45:43.808659,2017-11-07 18:51:26.681921,2017-11-30 00:00:00.000000,17.6,1,32.0,2017-10-28 10:26:14,1,delivered,utilidades_domesticas,595,43,1,2017-11-08 18:26:14,ótimos parceiros parabéns,2017-11-08 00:00:00,5,0,0,0,0,0,0,0,0,3
976,976,Sao Paulo,SP,43,977,satisfeito_com_pedido,satisfeito,2017-06-24 02:30:23.086812,2017-06-28 12:19:55.014412,2017-07-05 00:00:00.000000,9.34,1,29.9,2017-06-22 21:09:34,1,delivered,informatica_acessorios,954,56,3,2017-07-02 07:10:05,excelente compre um produto e recebi outro mais atualizado,2017-06-29 00:00:00,5,0,0,0,1,0,0,0,0,2
977,977,Gaspar,SC,891,978,satisfeito_com_pedido,satisfeito,2018-01-17 03:34:26.131988,2018-02-05 21:09:12.270465,2018-02-08 00:00:00.000000,15.1,1,39.99,2018-01-15 23:12:18,1,delivered,telefonia,699,54,3,2018-02-07 17:55:50,otimo,2018-02-06 00:00:00,5,0,0,0,0,0,0,0,0,3
978,978,Paraiso do Norte,PR,877,979,satisfeito_com_pedido,satisfeito,2017-10-17 11:56:14.766099,2017-10-25 20:14:48.707207,2017-11-09 00:00:00.000000,18.09,1,119.99,2017-10-17 11:39:29,1,delivered,cool_stuff,897,33,1,2017-10-26 17:15:13,o produto veio exatamente como descrito,2017-10-26 00:00:00,4,0,0,0,0,0,0,0,0,3
979,979,Sao Jose,SC,881,980,satisfeito_com_pedido,satisfeito,2018-01-06 18:39:23.567660,2018-01-19 14:33:16.382861,2018-02-22 00:00:00.000000,6.25,1,93.5,2018-01-06 18:31:43,4,delivered,moveis_decoracao,618,37,1,2018-01-27 13:45:02,produtos lindos até mais que o esperado recomendo essa loja,2018-01-20 00:00:00,4,0,0,0,0,0,0,0,0,3
980,980,RIO DE JANEIRO,RJ,227,981,problemas_de_entrega,entrega_parcial,2017-11-23 12:29:24.047613,2017-11-30 22:19:07.797110,2017-12-11 00:00:00.000000,35.34,2,119.8,2017-11-22 19:30:00,1,delivered,ferramentas_jardim,366,57,2,2017-12-01 22:16:18,comprei 2 lustre no valor de 59 90 cada é recebi apenas 1 produto no momento estou muito insatisfeita com a loja que comprei o produto e não recomendo a ninguém,2017-12-01 00:00:00,1,0,0,0,0,0,0,3,0,0
981,981,Maringa,PR,870,982,problemas_de_entrega,entrega_parcial,2017-10-25 02:28:34.565681,2017-11-06 21:09:40.976083,2017-11-14 00:00:00.000000,45.3,3,83.97,2017-10-23 19:32:01,1,delivered,papelaria,355,59,1,2017-11-08 23:54:58,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,2017-11-07 00:00:00,1,0,0,0,0,0,0,3,0,0
982,982,Santo Andre,SP,90,983,satisfeito_com_pedido,antes_prazo,2017-08-23 00:32:28.151528,2017-08-25 18:06:57.652032,2017-09-05 00:00:00.000000,8.72,1,56.99,2017-08-22 23:46:00,1,delivered,perfumaria,999,51,2,2017-08-29 22:16:42,chegou mais rapido do que o prazo pinceis otimos e igual a foto,2017-08-26 00:00:00,5,2,0,0,0,0,0,0,0,1
983,983,Lorena,SP,126,984,satisfeito_com_pedido,satisfeito,2017-11-26 14:52:41.584066,2017-12-09 21:48:56.900156,2017-12-18 00:00:00.000000,16.12,1,69.9,2017-11-26 14:34:33,1,delivered,esporte_lazer,1197,52,1,2017-12-13 17:42:30,chegou tudo certo recomendo a loja,2017-12-10 00:00:00,5,0,0,0,0,0,0,0,0,3
984,984,Itueta,MG,352,985,satisfeito_com_pedido,antes_prazo,2017-12-12 03:50:34.132412,2017-12-26 22:22:30.793361,2018-01-09 00:00:00.000000,21.38,1,127.0,2017-12-11 00:20:15,1,delivered,esporte_lazer,3362,46,5,2017-12-28 02:56:25,entrega mais rápida,2017-12-27 00:00:00,5,2,0,0,0,0,0,0,0,1
985,985,Sao Paulo,SP,23,986,,,2017-07-14 02:24:30.034118,2017-08-11 12:47:48.187187,2017-07-26 00:00:00.000000,9.34,1,49.99,2017-07-13 15:01:47,1,delivered,telefonia,1017,53,5,2017-07-31 15:14:16,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,2017-07-29 00:00:00,1,0,0,0,0,0,0,0,0,0
986,986,Piedade do Rio Grande,MG,362,987,satisfeito_com_pedido,satisfeito,2017-05-28 19:55:14.731197,2017-06-05 12:10:34.397540,2017-06-26 00:00:00.000000,18.46,1,119.9,2017-05-28 19:44:31,1,delivered,artes,745,45,1,2017-06-07 02:20:58,adorei o produto,2017-06-06 00:00:00,5,0,0,0,0,0,0,0,0,3
987,987,Belo Horizonte,MG,302,988,satisfeito_com_pedido,satisfeito,2017-08-31 01:06:16.535798,2017-09-06 19:17:03.408935,2017-09-13 00:00:00.000000,8.11,1,31.9,2017-08-31 00:47:54,1,delivered,informatica_acessorios,718,24,2,2017-09-08 03:31:06,o produto é de boa qualidade e chegou no prazo só ficou um pouco grande pro meu notebook,2017-09-07 00:00:00,5,0,0,0,0,0,0,0,0,3
988,988,Ourinhos,SP,199,989,satisfeito_com_pedido,satisfeito,2017-06-28 14:25:19.705032,2017-07-04 14:09:52.437824,2017-07-18 00:00:00.000000,12.69,1,25.99,2017-06-28 14:05:47,1,delivered,cama_mesa_banho,1059,52,1,2017-07-10 01:51:32,compraria novamente,2017-07-05 00:00:00,5,0,0,0,0,0,0,0,0,3
989,989,Londrina,PR,860,990,problemas_de_qualidade,devolucao,2017-08-03 03:10:21.537262,2017-08-07 14:32:54.530966,2017-08-24 00:00:00.000000,15.1,1,49.0,2017-08-02 15:38:39,1,delivered,informatica_acessorios,413,50,3,2017-08-09 03:35:51,produto com defeito,2017-08-08 00:00:00,1,0,0,1,0,0,0,0,2,0
990,990,Marilia,SP,175,991,satisfeito_com_pedido,satisfeito,2017-11-26 17:32:34.206636,2017-12-27 21:06:11.787876,2017-12-18 00:00:00.000000,12.79,1,64.9,2017-11-26 17:23:00,1,delivered,esporte_lazer,243,44,1,2018-01-05 16:19:09,estou muito satisfeita,2017-12-19 00:00:00,5,0,0,0,0,0,0,0,0,3
991,991,Belo Horizonte,MG,315,992,satisfeito_com_pedido,satisfeito,2018-02-05 09:35:29.697193,2018-02-21 20:25:58.921618,2018-03-01 00:00:00.000000,15.17,1,59.0,2018-02-05 09:24:21,1,delivered,beleza_saude,546,50,1,2018-02-25 15:33:09,ótimo produto,2018-02-22 00:00:00,5,0,0,0,0,0,0,0,0,3
992,992,Petropolis,RJ,256,993,satisfeito_com_pedido,satisfeito,2017-05-21 09:55:08.273305,2017-05-31 14:16:43.061269,2017-06-13 00:00:00.000000,15.1,1,37.9,2017-05-21 09:43:18,1,delivered,utilidades_domesticas,740,19,6,2017-06-02 16:23:54,produto chegou e é muito bom,2017-06-02 00:00:00,5,0,0,0,0,0,0,0,0,3
993,993,Itaquaquecetuba,SP,85,994,satisfeito_com_pedido,satisfeito,2018-01-30 20:10:28.316522,2018-02-05 16:08:58.582186,2018-02-21 00:00:00.000000,14.16,1,58.9,2018-01-30 20:00:25,1,delivered,malas_acessorios,124,40,1,2018-02-06 21:39:21,recomendo todas as lojas parceiras da lannister porém só compro nesta loja online porém nunca tive nenhum desconto nenhum cupom,2018-02-06 00:00:00,5,0,0,0,0,0,0,0,0,3
994,994,Vinhedo,SP,132,995,problemas_de_entrega,entrega_parcial,2017-12-29 09:48:22.988439,2018-01-04 16:22:10.522271,2018-01-18 00:00:00.000000,10.76,1,39.49,2017-12-29 09:38:51,4,delivered,beleza_saude,3847,56,10,2018-01-05 21:40:40,compra entregue em apenas 6 dias porém veio apenas um produto ao invés de dois sendo que no rastreamento consta que os dois foram entregues entrei em contato me atenderam rápido e educadamente,2018-01-05 00:00:00,3,1,0,0,0,0,0,2,0,0
995,995,Barbacena,MG,362,996,satisfeito_com_pedido,antes_prazo,2018-02-02 02:54:20.518098,2018-02-14 15:27:49.150262,2018-03-06 00:00:00.000000,12.48,1,38.9,2018-01-31 20:19:53,1,delivered,informatica_acessorios,1101,35,1,2018-02-15 20:51:45,chegou no prazo até bem antes do prazo porém o material da pasta não era o que esperava,2018-02-15 00:00:00,2,2,0,1,0,0,0,0,0,0
996,996,RIO DE JANEIRO,RJ,218,997,satisfeito_com_pedido,antes_prazo,2017-04-21 03:05:06.480098,2017-04-28 08:52:53.507818,2017-05-10 00:00:00.000000,21.4,1,109.4,2017-04-20 23:35:35,1,delivered,moveis_colchao_e_estofado,809,48,1,2017-05-13 06:11:57,deu tudo certo o produto era exatamente o que eu esperava e chegou antes do prazo eu recomendo,2017-04-29 00:00:00,5,3,0,0,0,0,0,0,0,0
997,997,Sao Bernardo do Campo,SP,98,998,satisfeito_com_pedido,antes_prazo,2018-03-30 03:08:51.906786,2018-04-05 20:05:04.049767,2018-04-18 00:00:00.000000,15.7,1,117.7,2018-03-29 09:17:19,1,delivered,perfumaria,190,29,1,2018-04-08 19:08:19,informado que seria entregue em 19 04 recebi dia 06 04 muito àgil parabêns,2018-04-06 00:00:00,5,3,0,0,0,0,0,0,0,0
998,998,Goiania,GO,743,999,satisfeito_com_pedido,antes_prazo,2017-06-05 10:15:23.208051,2017-06-14 12:16:41.157052,2017-07-06 00:00:00.000000,21.58,1,112.0,2017-06-05 10:05:05,1,delivered,ferramentas_jardim,511,34,4,2017-06-16 03:25:10,a pia chegou antes do prazo a qualidade da pia não é tão boa veio com umas lasquinhas na base da pia mas pelo preço e aparencia vale,2017-06-15 00:00:00,4,2,0,1,0,0,0,0,0,0
999,999,Macae,RJ,279,1000,satisfeito_com_pedido,satisfeito,2017-10-02 18:56:25.389160,2017-10-09 21:04:22.103606,2017-10-24 00:00:00.000000,17.15,1,119.4,2017-10-02 18:44:37,1,delivered,cool_stuff,599,59,2,2017-10-11 04:33:30,legal,2017-10-10 00:00:00,4,0,0,0,0,0,0,0,0,3
1000,1000,Sao Gabriel,RS,973,1001,satisfeito_com_pedido,satisfeito,2018-03-02 01:30:31.237925,2018-03-13 18:44:47.267616,2018-04-02 00:00:00.000000,26.19,1,129.9,2018-03-02 01:18:52,1,delivered,fashion_bolsas_e_acessorios,293,37,3,2018-03-15 01:33:58,excelente produto entrega rápida,2018-03-14 00:00:00,5,1,0,0,0,0,0,0,0,2
1001,1001,Sao Luis,MA,650,1002,problemas_de_qualidade,devolucao,2017-09-04 14:25:21.548237,,2017-09-26 00:00:00.000000,38.1,1,78.9,2017-09-02 14:57:43,1,shipped,beleza_saude,2133,53,1,2017-09-29 23:05:49,pessima escolha quero meu dinheiro de volta,2017-09-28 00:00:00,1,0,0,0,0,0,0,0,3,0
1002,1002,Santo Andre,SP,91,1003,satisfeito_com_pedido,antes_prazo,2017-05-08 13:02:59.012580,2017-05-12 11:24:49.032255,2017-06-05 00:00:00.000000,26.06,1,249.9,2017-05-08 11:59:25,1,delivered,climatizacao,406,47,1,2017-05-16 04:21:22,produto entregue bem antes do prazo previsto,2017-05-13 00:00:00,5,3,0,0,0,0,0,0,0,0
1003,1003,Santo Andre,SP,92,1004,,,2017-12-26 11:13:20.684265,2017-12-28 00:42:28.463579,2018-01-09 00:00:00.000000,9.34,1,50.0,2017-12-20 13:17:56,1,delivered,bebes,645,56,1,2017-12-29 01:58:58,não recebi meu produto certo veio outro no lugar,2017-12-28 00:00:00,2,0,1,0,1,0,0,0,1,0
1004,1004,BRASILIA,DF,723,1005,problemas_de_qualidade,devolucao,2017-12-09 10:36:28.287118,2017-12-29 22:59:22.551296,2018-01-10 00:00:00.000000,43.52,1,129.0,2017-12-09 08:24:48,1,delivered,ferramentas_jardim,509,33,1,2018-01-01 01:41:00,meu produto chegou todo arranhado parece que passaram bombril parece produto velho e já usado estou decepcionada gostaria de enviar as fotos em algum email não recomendo a compra,2017-12-30 00:00:00,1,0,0,1,0,0,0,0,2,0
1005,1005,Sao Jose dos Campos,SP,122,1006,satisfeito_com_pedido,satisfeito,2017-07-04 14:45:19.998309,2017-07-18 18:46:53.426130,2017-08-07 00:00:00.000000,17.6,1,34.9,2017-07-04 14:35:03,2,delivered,cama_mesa_banho,701,46,1,2017-07-22 16:33:30,satisfeita,2017-07-19 00:00:00,5,0,0,0,0,0,0,0,0,3
1006,1006,Sao Mateus do Sul,PR,839,1007,satisfeito_com_pedido,satisfeito,2017-12-29 21:09:39.396712,2018-01-16 13:56:35.107009,2018-02-01 00:00:00.000000,39.14,2,99.8,2017-12-29 21:00:37,3,delivered,ferramentas_jardim,341,59,2,2018-02-02 22:11:10,excelente produto meus parabéns entrega dentro do prazo obrigado,2018-01-17 00:00:00,5,0,0,0,0,0,0,0,0,3
1007,1007,Ipojuca,PE,555,1008,satisfeito_com_pedido,satisfeito,2017-08-14 21:30:13.949033,2017-08-28 20:16:58.045214,2017-09-18 00:00:00.000000,17.63,1,39.9,2017-08-14 20:46:10,1,delivered,fashion_bolsas_e_acessorios,831,42,1,2017-08-31 01:03:41,chegou tudo certinho pode comprar sem medo,2017-08-30 00:00:00,5,0,0,0,0,0,0,0,0,3
1008,1008,RIO DE JANEIRO,RJ,202,1009,satisfeito_com_pedido,satisfeito,2017-10-12 20:27:52.866150,2017-10-24 18:48:05.326600,2017-11-08 00:00:00.000000,38.55,1,143.0,2017-10-12 20:09:02,1,delivered,perfumaria,659,40,2,2017-10-27 18:59:19,dentro do prazo produto correto,2017-10-25 00:00:00,5,0,0,0,0,0,0,0,0,3
1009,1009,Campo Novo do Parecis,MT,783,1010,problemas_de_entrega,entrega_parcial,2017-11-13 20:07:21.847650,2017-12-02 17:32:24.082920,2017-12-12 00:00:00.000000,149.64,2,599.8,2017-11-13 19:47:16,1,delivered,moveis_escritorio,2245,35,1,2017-12-04 14:22:15,foi entregue uma cadeira antes do prazo porem ate o momento nao recebi a outra,2017-12-03 00:00:00,1,0,0,0,0,0,0,3,0,0
1010,1010,Fortaleza,CE,608,1011,problemas_de_entrega,atrasado,2017-12-01 21:36:28.848351,2018-01-04 20:28:16.131882,2017-12-29 00:00:00.000000,37.0,1,139.99,2017-11-28 19:49:46,1,delivered,moveis_escritorio,1292,55,1,2018-01-06 02:22:24,bom mas demorou muito,2018-01-05 00:00:00,3,0,3,0,0,0,0,0,0,0
